Channel Names,Optimal Time Windows Start,Optimal Time Windows End,Accuracy
B'11,38,56,0.7597402597402597
B'12,23,27,0.7532467532467533
B'13,40,49,0.7272727272727273
B'10,35,38,0.7142857142857143
A'13,51,58,0.7077922077922078
A'12,44,59,0.7077922077922078
F'13,26,37,0.7077922077922078
F'11,12,15,0.7077922077922078
TP'10,10,26,0.7077922077922078
TP'8,9,35,0.7077922077922078
X'12,51,55,0.7012987012987013
A'14,14,16,0.7012987012987013
C'14,39,52,0.7012987012987013
TP'9,5,12,0.7012987012987013
TP'7,30,32,0.7012987012987013
X'11,13,39,0.6948051948051948
C'13,19,32,0.6948051948051948
F'12,4,16,0.6948051948051948
TP'6,2,29,0.6883116883116883
F'14,37,47,0.6818181818181818
A'11,35,35,0.6753246753246753
