Channel Names,Optimal Time Windows Start,Optimal Time Windows End,Accuracy
B'11,38,60,0.7272727272727273
B'12,22,60,0.7207792207792207
A'13,54,57,0.7142857142857143
A'11,23,53,0.7142857142857143
F'13,52,59,0.7142857142857143
X'11,10,10,0.7012987012987013
A'12,15,32,0.7012987012987013
TP'9,13,20,0.7012987012987013
B'13,17,20,0.6948051948051948
C'14,37,37,0.6948051948051948
C'13,2,4,0.6948051948051948
F'11,14,41,0.6948051948051948
TP'10,8,35,0.6948051948051948
TP'7,27,37,0.6948051948051948
X'12,5,31,0.6883116883116883
A'14,38,47,0.6883116883116883
F'14,44,59,0.6883116883116883
F'12,18,22,0.6883116883116883
TP'8,30,38,0.6883116883116883
TP'6,25,43,0.6883116883116883
B'10,0,59,0.6818181818181818
